scnno,timestamp,value,lat,lon,bearinglookup,bearing
N44151M,2016-06-15 12:25:10,43,52.4687203464,-1.94337118604
N44151N,2016-06-15 12:25:10,53,52.4695931475,-1.94501878136
N44161P,2016-06-15 12:25:10,25,52.4716689154,-1.94307299282
N44171E,2016-06-15 12:25:10,32,52.4718039722,-1.92701180949
N44171F,2016-06-15 12:25:10,33,52.4696714099,-1.92392398693
N44171G,2016-06-15 12:25:10,27,52.4693961034,-1.92940050935
N44181P,2016-06-15 12:25:10,33,52.4678406898,-1.92915274791
N44181R,2016-06-15 12:25:10,32,52.4692795477,-1.929930634
N44181S,2016-06-15 12:25:10,32,52.470187751,-1.93029721782
N44191J,2016-06-15 12:25:10,24,52.4703280907,-1.92457057706
N44211M,2016-06-15 12:25:10,6,52.4676774871,-1.9268714106
N44211N,2016-06-15 12:25:10,27,52.4692434138,-1.92963628093
N46121T,2016-06-15 12:25:10,80,52.4732297727,-1.95629120082
N47111M,2016-06-15 12:25:10,80,52.4764163395,-1.91432778365
N51121J,2016-06-15 12:25:10,32,52.4903562102,-1.90954378056
N51121L,2016-06-15 12:25:10,20,52.4877634593,-1.90488072141
N51131Q,2016-06-15 12:25:10,28,52.4910119002,-1.90879132242
N51131R,2016-06-15 12:25:10,27,52.4887902577,-1.90733792799
N51141A,2016-06-15 12:25:10,80,52.4922368673,-1.91188171537
N51141B,2016-06-15 12:25:10,80,52.4920648225,-1.91023250741
N51141D,2016-06-15 12:25:10,80,52.4903135233,-1.91256301505
N53111B,2016-06-15 12:25:10,35,52.4931191685,-1.90205605774
N53112Y,2016-06-15 12:25:10,38,52.4938775381,-1.90603113679
N53141Q,2016-06-15 12:25:10,35,52.4969611195,-1.89533076934
N53151A,2016-06-15 12:25:10,38,52.4942825256,-1.89579370839
N53151C,2016-06-15 12:25:10,30,52.4921411871,-1.89383991178
N53151D,2016-06-15 12:25:10,80,52.4910098564,-1.89541850174
N53151E,2016-06-15 12:25:10,12,52.4925935898,-1.89713796667
N53161J,2016-06-15 12:25:10,38,52.4925130628,-1.89758000258
N53161K,2016-06-15 12:25:10,28,52.4865738038,-1.90123115836
N53161L,2016-06-15 12:25:10,4,52.49304595,-1.9004950031
N53161M,2016-06-15 12:25:10,80,52.49363789,-1.89884406076
N53162A,2016-06-15 12:25:10,32,52.4927754954,-1.89959718129
N53171P,2016-06-15 12:25:10,37,52.491899833,-1.89538693978
N53181Y,2016-06-15 12:25:10,40,52.49892475,-1.89975997625
N54131Q,2016-06-15 12:25:10,37,52.5277080408,-1.90789010256
N54141H,2016-06-15 12:25:10,38,52.5297061207,-1.91093726365
N54161P,2016-06-15 12:25:10,40,52.525601897,-1.9047107966
N55111S,2016-06-15 12:25:10,80,52.5131149556,-1.94836856412
N55113X,2016-06-15 12:25:10,80,52.5139236989,-1.94757190753
N55121C,2016-06-15 12:25:10,17,52.5144322437,-1.93940777927
N55131K,2016-06-15 12:25:10,80,52.5140268762,-1.9378169035
N57131S,2016-06-15 12:25:10,19,52.5030025551,-1.93288251425
N57131T,2016-06-15 12:25:10,80,52.5013707212,-1.92509216354
N57141A,2016-06-15 12:25:10,19,52.5034082888,-1.93501802727
N57141C,2016-06-15 12:25:10,9,52.5022902489,-1.92925963413
N57141D,2016-06-15 12:25:10,35,52.5019507015,-1.93282518411
N57142Y,2016-06-15 12:25:10,19,52.5030566192,-1.93310340928
N57151L,2016-06-15 12:25:10,19,52.5034263491,-1.93516532002
N57171T,2016-06-15 12:25:10,38,52.5040153456,-1.94434256988
N58111J,2016-06-15 12:25:10,17,52.5092073907,-1.95594632321
N58111K,2016-06-15 12:25:10,27,52.5081097832,-1.95373739033
N58121H,2016-06-15 12:25:10,41,52.509513793,-1.9580087732
N58132Q,2016-06-15 12:25:10,25,52.5069485026,-1.94983433024
N58133P,2016-06-15 12:25:10,80,52.507965772,-1.95329553737
N58141X,2016-06-15 12:25:10,37,52.5089555089,-1.95550456031
N59111P,2016-06-15 12:25:10,80,52.5011176178,-1.92292711228
N62111A,2016-06-15 12:25:10,80,52.527186716,-1.89705737943
N62121L,2016-06-15 12:25:10,45,52.5225655361,-1.89662600436
N62131D,2016-06-15 12:25:10,80,52.5273123822,-1.89683598756
N62131E,2016-06-15 12:25:10,35,52.5264492391,-1.89670534798
N62131F,2016-06-15 12:25:10,43,52.5253255948,-1.89681115188
N64151C,2016-06-15 12:25:10,80,52.5640948365,-1.8244933978
N64151D,2016-06-15 12:25:10,80,52.5640948147,-1.82447864563
N66121Y,2016-06-15 12:25:10,33,52.53661108,-1.83582229767
N66131R,2016-06-15 12:25:10,12,52.536310805,-1.8269629062
N66141X,2016-06-15 12:25:10,22,52.5369398133,-1.82676877615
N66151D,2016-06-15 12:25:10,27,52.5276343334,-1.83884794549
