,measurement_id,lon,lat,source,coords,Name,nodeId,wayId
70,N66121Y,-1.835822301,52.53661109,Scoot,"(-1.8358223009999999, 52.536611090000001)",Chester Road,1557685121,142318763-0
71,N82161F,-1.823243821,52.46370259,Scoot,"(-1.8232438209999999, 52.463702589999997)",Holder Road,3796618386,12327083-1
72,N52133Q,-7.557159842,49.76680723,Scoot,"(-7.5571598420000008, 49.766807229999998)",,,
73,N13112Y,-1.876904532,52.45969801,Scoot,"(-1.876904532, 52.459698009999997)",Highgate Road,3796714078,376543122-4
74,N44141H,-1.948269326,52.47192302,Scoot,"(-1.9482693259999999, 52.471923019999998)",Hagley Road,3797937209,137652671-4
75,N82151J,-1.837734018,52.46179047,Scoot,"(-1.8377340180000001, 52.461790469999997)",Speedwell Road,3796598678,7981010-0
76,N13192B,-1.866618807,52.45425692,Scoot,"(-1.8666188069999998, 52.454256919999999)",Stratford Road,3796697325,376543123-1
77,N33151L,-7.557159842,49.76680723,Scoot,"(-7.5571598420000008, 49.766807229999998)",,,
78,N53161L,-1.900495007,52.49304596,Scoot,"(-1.900495007, 52.493045960000003)",New John Street West,3796775541,367965806-1
79,N57141C,-1.929259638,52.50229026,Scoot,"(-1.9292596380000002, 52.502290260000002)",Soho Road,3806419903,32873178-2
80,N33113P,-1.900597021,52.46732577,Scoot,"(-1.9005970209999998, 52.467325770000002)",Belgrave Middleway,221474,73041016-0
81,N34131A,-1.9418067,52.43822552,Scoot,"(-1.9418066999999999, 52.438225520000003)",Bourn Brook Walkway,1681410529,155778737-0
82,N32121J,-7.557159842,49.76680723,Scoot,"(-7.5571598420000008, 49.766807229999998)",,,
83,N12122F,-7.557159842,49.76680723,Scoot,"(-7.5571598420000008, 49.766807229999998)",,,
84,N13151J,-1.87659905,52.46368925,Scoot,"(-1.87659905, 52.463689250000002)",Stratford Road,3796673942,74876934-0
85,N84121R,-7.557159842,49.76680723,Scoot,"(-7.5571598420000008, 49.766807229999998)",,,
86,N74131C,-1.821148151,52.51599401,Scoot,"(-1.821148151, 52.51599401)",Tyburn Road,3798121590,73554430-0
87,N25142S,-7.557159842,49.76680723,Scoot,"(-7.5571598420000008, 49.766807229999998)",,,
88,N14111Y,-1.885488624,52.45819629,Scoot,"(-1.8854886240000002, 52.458196289999997)",,,
89,N84132X,-7.557159842,49.76680723,Scoot,"(-7.5571598420000008, 49.766807229999998)",,,
90,N66192E,-7.557159842,49.76680723,Scoot,"(-7.5571598420000008, 49.766807229999998)",,,
91,N34131D,-1.939347805,52.43990543,Scoot,"(-1.9393478049999999, 52.439905430000003)",Bourn Brook Walkway,1681410536,155778737-0
92,N14151K,-7.557159842,49.76680723,Scoot,"(-7.5571598420000008, 49.766807229999998)",,,
93,N54131Q,-1.907890106,52.52770805,Scoot,"(-1.907890106, 52.527708050000001)",Walsall Road,3798001596,381223615-1
94,N14111X,-1.8866618,52.45982461,Scoot,"(-1.8866618000000002, 52.459824609999998)",Haden Way,3796949417,121009351-0
