scnno,timestamp,value,lat,lon,bearinglookup,bearing
N44151M,2016-06-15 10:50:10,12,52.4687203464,-1.94337118604,4,N
N44151N,2016-06-15 10:50:10,44,52.4695931475,-1.94501878136,96,E
N44161P,2016-06-15 10:50:10,25,52.4716689154,-1.94307299282,99,E
N44171E,2016-06-15 10:50:10,7,52.4718039722,-1.92701180949,132,SE
N44171F,2016-06-15 10:50:10,25,52.4696714099,-1.92392398693,327,NW
N44171G,2016-06-15 10:50:10,58,52.4693961034,-1.92940050935,68,E
N44181P,2016-06-15 10:50:10,8,52.4678406898,-1.92915274791,348,N
N44181R,2016-06-15 10:50:10,46,52.4692795477,-1.929930634,76,E
N44181S,2016-06-15 10:50:10,14,52.470187751,-1.93029721782,155,SE
N44191J,2016-06-15 10:50:10,25,52.4703280907,-1.92457057706,147,SE
N44191K,2016-06-15 10:50:10,44,52.4684724,-1.9211435,203,SW
N44211M,2016-06-15 10:50:10,82,52.4676774871,-1.9268714106,272,W
N44211N,2016-06-15 10:50:10,5,52.4692434138,-1.92963628093,168,S
N47111K,2016-06-15 10:50:10,12,52.4751713,-1.9143216,227,SW
N51121J,2016-06-15 10:50:10,40,52.4903562102,-1.90954378056,139,SE
N51121L,2016-06-15 10:50:10,68,52.4877634593,-1.90488072141,298,NW
N51131Q,2016-06-15 10:50:10,46,52.4910119002,-1.90879132242,231,SW
N51131R,2016-06-15 10:50:10,35,52.4887902577,-1.90733792799,137,SE
N53111B,2016-06-15 10:50:10,70,52.4931191685,-1.90205605774,284,W
N53112Y,2016-06-15 10:50:10,74,52.4938775381,-1.90603113679,101,E
N53141Q,2016-06-15 10:50:10,76,52.4969611195,-1.89533076934,189,S
N53151A,2016-06-15 10:50:10,72,52.4942825256,-1.89579370839,175,S
N53151C,2016-06-15 10:50:10,60,52.4921411871,-1.89383991178,277,W
N53151E,2016-06-15 10:50:10,78,52.4925935898,-1.89713796667,101,E
N53161J,2016-06-15 10:50:10,39,52.4925130628,-1.89758000258,282,W
N53161K,2016-06-15 10:50:10,24,52.4865738038,-1.90123115836
N53161L,2016-06-15 10:50:10,80,52.49304595,-1.9004950031,102,E
N53162A,2016-06-15 10:50:10,72,52.4927754954,-1.89959718129,282,W
N53171P,2016-06-15 10:50:10,40,52.491899833,-1.89538693978,173,S
N53181Y,2016-06-15 10:50:10,14,52.49892475,-1.89975997625,91,E
N54131Q,2016-06-15 10:50:10,66,52.5277080408,-1.90789010256,137,SE
N54141H,2016-06-15 10:50:10,58,52.5297061207,-1.91093726365,136,SE
N54161P,2016-06-15 10:50:10,59,52.525601897,-1.9047107966,149,SE
N55121C,2016-06-15 10:50:10,35,52.5144322437,-1.93940777927,293,NW
N57131S,2016-06-15 10:50:10,37,52.5030025551,-1.93288251425,110,E
N57141A,2016-06-15 10:50:10,33,52.5034082888,-1.93501802727,106,E
N57141C,2016-06-15 10:50:10,40,52.5022902489,-1.92925963413
N57141D,2016-06-15 10:50:10,19,52.5019507015,-1.93282518411,354,N
N57142Y,2016-06-15 10:50:10,59,52.5030566192,-1.93310340928
N57151L,2016-06-15 10:50:10,32,52.5034263491,-1.93516532002,287,W
N57171T,2016-06-15 10:50:10,21,52.5040153456,-1.94434256988,59,NE
N58111J,2016-06-15 10:50:10,45,52.5092073907,-1.95594632321,122,SE
N58111K,2016-06-15 10:50:10,31,52.5081097832,-1.95373739033,286,W
N58121H,2016-06-15 10:50:10,27,52.509513793,-1.9580087732,104,E
N58121J,2016-06-15 10:50:10,17,52.5092086,-1.9559422,258,W
N58132Q,2016-06-15 10:50:10,36,52.5069485026,-1.94983433024,295,NW
N58141X,2016-06-15 10:50:10,36,52.5089555089,-1.95550456031,128,SE
N62121L,2016-06-15 10:50:10,46,52.5225655361,-1.89662600436,175,S
N62131E,2016-06-15 10:50:10,32,52.5264492391,-1.89670534798,275,W
N62131F,2016-06-15 10:50:10,34,52.5253255948,-1.89681115188,1,N
N66121Y,2016-06-15 10:50:10,56,52.53661108,-1.83582229767,304,NW
N66131R,2016-06-15 10:50:10,55,52.536310805,-1.8269629062,14,N
N66141X,2016-06-15 10:50:10,64,52.5369398133,-1.82676877615,189,S
N66151D,2016-06-15 10:50:10,24,52.5276343334,-1.83884794549,107,E
N66152K,2016-06-15 10:50:10,135,52.5249838444,-1.8399778051,46,NE
N66161P,2016-06-15 10:50:10,36,52.5282312597,-1.84151374723,293,NW
N66181J,2016-06-15 10:50:10,15,52.5377263495,-1.83620147318,163,S
N66181L,2016-06-15 10:50:10,19,52.5356147746,-1.83696119645,31,NE
N67111F,2016-06-15 10:50:10,45,52.5176329576,-1.8999827783,101,E
N67111G,2016-06-15 10:50:10,30,52.5188373784,-1.899714783,123,SE
N67111H,2016-06-15 10:50:10,5,52.5190756,-1.8972450,289,W
N67111K,2016-06-15 10:50:10,17,52.5188463683,-1.89971476258,123,SE
N71111H,2016-06-15 10:50:10,34,52.5052339563,-1.86220715864,308,NW
N71151A,2016-06-15 10:50:10,21,52.5060048645,-1.86815680257,47,NE
N71161C,2016-06-15 10:50:10,24,52.5033578028,-1.87270213478,55,NE
N71171K,2016-06-15 10:50:10,25,52.5043831722,-1.87318534334
