Id,measurement_id,lon,lat,source,coords,Name,nodeId,wayId,direction,description,Column1,new_wayId
193,WMTG-A0212POLE1-Zone1,-2.138876487,52.57277301,Detector,"(-2.1388764869999997, 52.572773009999999)",Penn Road,2994872607,87130624-2,N/B,Penn Road,,
194,WMID-JTMS45,-2.061156769,52.45344385,Detector,"(-2.0611567690000001, 52.453443849999999)",Stourbridge Road,1597531013,298596645-2,W/B,9A - A458 Stbdg Rd Nr Atwd St,,
195,JTMS17,-1.815404628,52.44467676,Detector,"(-1.815404628, 52.44467676)",Warwick Road,354655230,34588650-0,I/B,21A - A41 (SoC) I/B Warwick Road,,
196,WMID-JTMS93,-1.4351907,52.39641856,Detector,"(-1.4351906999999999, 52.396418560000001)",Brandon Road,439989722,54610908-2,W/B,7A - A428  W/B Brandon Road,,40943857
197,BIRM-JTMS20,-1.838699279,52.60451521,Detector,"(-1.8386992790000001, 52.604515210000002)",Lichfield Road,210392,2616-0,O/B,23B - A5127 O/B, Lichfield Road,69409240
198,BIRM-JTMS10,-1.92857069,52.54576496,Detector,"(-1.9285706899999999, 52.54576496)",Queslett Road,241596176,265943908-0,I/B,10B2 - A4041 I/B  Queslett Road,,4209919
199,BIRM-JTMS24,-1.887856094,52.40668565,Detector,"(-1.887856094, 52.40668565)",Alcester Road South,21295126,4017632-1,O/B,29B - A435 O/B AlcesterRoadSouth,,
200,WMID-70501,-1.78815791,52.38004645,Detector,"(-1.78815791, 52.380046450000002)",Stratford Road,629507248,4258066-0,I/B,5A-A34 Stratford Rd (SoC) I/B,,
201,JTMS14,-1.975763145,52.42833027,Detector,"(-1.9757631449999999, 52.428330269999996)",Shenley Lane,1549276039,50586201-5,I/B,16A - B4121 I/B Shenley Lane,,
202,WMID-175461,-1.805342384,52.4377653,Detector,"(-1.805342384, 52.437765299999995)",Warwick Road,3720140285,373633945-0,I/B,3A-A41  Warwick Rd I/B,,366434605
203,BIRM-JTMS58,-1.947868083,52.48764628,Detector,"(-1.9478680830000001, 52.48764628)",Dudley Road,305215606,34752237-8,I/B,18A - A457 I/B Dudley Road,,
204,BIRM-JTMS61,-1.87798792,52.46709789,Detector,"(-1.87798792, 52.467097889999998)",Stratford Road,1574348864,42783865-0,O/B,19B - A34 (SoC) O/B Stratford Rd,,
205,WMID-78091,-1.783595335,52.41485685,Detector,"(-1.783595335, 52.41485685)",Lode Lane,29944589,4705991-1,I/B,6A-B4102 Lode Lane I/B,,
206,JTMS29,-1.809660682,52.48369324,Detector,"(-1.8096606819999999, 52.483693240000001)",Station Road,209959,74187693-1,CW,A4040 CW4 - Station Rd Stechford,,
207,BIRM-JTMS52,-1.901069354,52.48649277,Detector,"(-1.9010693540000001, 52.486492769999998)",Summer Lane,1831042679,23167225-1,I/B,13B - A41(NoC I/B OSH Summerlane,,23167226
208,BIRM-JTMS60,-1.834267183,52.42075519,Detector,"(-1.8342671830000001, 52.420755190000001)",Stratford Road,32832450,4960289-3,O/B,19A - A34 (SoC) O/B Stratford Rd,,
209,WMID-JTMS81,-1.524023801,52.38201157,Detector,"(-1.524023801, 52.382011570000003)",Kenpas Highway,280707712,25742861-0,E/B,1B2 - A45 E/B Knps Hghwy/Grn Ln,,42046281
210,WMID-70511,-1.782138923,52.41503398,Detector,"(-1.7821389230000002, 52.415033979999997)",Lode Lane,,,O/B,6B-B4102 Lode Lane O/B,,4705990
211,JTMS32,-1.847900855,52.42424364,Detector,"(-1.847900855, 52.42424364)",Robin Hood Lane,156753779,15697244-0,ACW,A4040ACW3 - RobinHd Ln, YardlyWd,101499388
212,WMID-175481,-1.781336472,52.43461285,Detector,"(-1.7813364719999998, 52.434612850000001)",Lode Lane,721998108,37046418-1,I/B,2A-B425 Lode Lane I/B,,
213,WMID-78111,-1.750946574,52.40607228,Detector,"(-1.7509465740000001, 52.406072279999997)",Solihull Bypass,2012333602,4257979-1,O/B,9B-A41 Solihull By-Pass O/B,,
214,BIRM-JTMS43,-1.887218423,52.46085899,Detector,"(-1.8872184230000002, 52.460858989999998)",Haden Way,21295255,4017645-1,I/B,7B - A435 I/B Haden Circus,,424081135
215,BIRM-JTMS19,-1.857963118,52.51014645,Detector,"(-1.857963118, 52.510146450000001)",Gravelly Hill,1581694568,3240882-0,O/B,23A/26A -A5127 O/B, GravellyHill,
